well,method,method_label,target,seed,n,calibration_n,qhat,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,protocol,alpha,target_coverage,local_calibration_frac,local_calibration_strategy,stress_curves,clip_intervals,qhat_lower,qhat_upper,selected_level
6,wl_pcqr,WL-PCQR,PHIF,42,128,32,-0.0009877997375332542,0.008898861090037645,0.006893597997115895,0.9869362021302615,0.9952878534124164,0.9140625,0.03283624417856378,0.01643661612299862,0.5005632201300537,0.04196200782384271,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,uniform
7,wl_pcqr,WL-PCQR,PHIF,42,128,32,-0.0015565897435897424,0.027077221799665537,0.008304617505646804,0.7978103363212383,0.9022448487258758,0.90625,0.03173402619319697,0.01745356035638823,0.5499951455932769,0.07900602085961951,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,uniform
8,wl_pcqr,WL-PCQR,PHIF,42,128,32,0.003837446512840263,0.009751929766156247,0.005917440904152162,0.9907680549398288,0.995792404692078,0.984375,0.052067140697001954,0.03260209947271378,0.6261549805939511,0.053300284495533964,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,location-scale
0,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.04497592125983599,0.03488220849339796,0.024547344675185427,0.8678926324692604,0.9356026331211679,0.9375,0.12598669402065818,0.039333565680960754,0.31220412589373275,0.16295725422407586,,,,,,,,,,
1,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.006812548037036761,0.005897600919508816,0.9769043523733607,0.9886733853255347,1.0,0.044970790164336805,0.012440059212947234,0.2766253198462271,0.044970790164336805,,,,,,,,,,
2,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.011829271078073524,0.009894032763756212,0.9629340379205135,0.9916163245048758,1.0,0.07700411351705935,0.030171142457086905,0.3918120874205356,0.07700411351705935,,,,,,,,,,
3,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.007736863235875147,0.006432780552609258,0.9843012675718562,0.9948085963707832,0.9921875,0.04120172750355977,0.011991476051054176,0.2910430406108125,0.043264227503559766,,,,,,,,,,
4,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.009751357338916767,0.006762096485377839,0.9807481482759018,0.9912939855565018,0.9453125,0.04788771448490704,0.016490592028220907,0.3443595545454213,0.05832943323490704,,,,,,,,,,
5,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.012505288189383163,0.009985019638707758,0.9684170990824958,0.9886081050935056,0.953125,0.049514065227192455,0.02148511154664422,0.4339193610555105,0.05615469022719245,,,,,,,,,,
6,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.008961165443544939,0.006932476290032758,0.9867526323911154,0.9953940172898378,0.9921875,0.04782028897644203,0.016442789583878147,0.34384546676366695,0.04863278897644203,,,,,,,,,,
7,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.027629389897279706,0.00835263481286953,0.7894800127060762,0.8981689170103111,0.984375,0.0497736532316905,0.020129648704331288,0.4044237743737664,0.09425160885833081,,,,,,,,,,
8,qrf_cqr,RF-Leaf QRF+CQR,PHIF,7,128,32,0.0,0.020906688597710634,0.013193470487890272,0.957569066871881,0.9921743610253767,0.9453125,0.06369264625942934,0.036453495459081706,0.5723344467523198,0.07147026518987555,,,,,,,,,,
0,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.04007249217057403,0.03488220849339796,0.024547344675185427,0.8678926324692604,0.9356026331211678,0.90625,0.11250542441493523,0.05439064866510231,0.4834491221019019,0.15245319668706014,,,,,,,,,,
1,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.0,0.006812548037036761,0.005897600919508817,0.9769043523733607,0.9886733853255347,1.0,0.031222984420908213,0.009241005218306857,0.29596803091374874,0.031222984420908213,,,,,,,,,,
2,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.00040628379818741873,0.011829271078073524,0.009894032763756212,0.9629340379205135,0.9916163245048756,0.984375,0.06589164544488396,0.033046825190676005,0.5015328569737799,0.06614175746885134,,,,,,,,,,
3,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.0015250248022633192,0.007736863235875146,0.006432780552609256,0.9843012675718562,0.9948085963707832,0.96875,0.03013256219632596,0.00980445100506873,0.32537727595777366,0.03348448518834647,,,,,,,,,,
4,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.0018155571297725224,0.009751357338916775,0.006762096485377844,0.9807481482759017,0.991293985556502,0.90625,0.0404012946980844,0.013601766281751259,0.3366665940632882,0.057009061240192935,,,,,,,,,,
5,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.0019227581477809731,0.012505288189383158,0.009985019638707755,0.9684170990824958,0.9886081050935055,0.921875,0.05080681343135745,0.02517141186765997,0.49543378471605604,0.05723853193138503,,,,,,,,,,
6,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.00027368794642857196,0.008961165443544954,0.006932476290032775,0.9867526323911154,0.9953940172898379,0.9296875,0.037631812102240605,0.01730849172035223,0.45994308414719365,0.04237770845571573,,,,,,,,,,
7,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.0009997921222055042,0.027629389897279717,0.008352634812869533,0.7894800127060759,0.8981689170103109,0.9765625,0.035931541647558456,0.016954581842812073,0.4718579015928234,0.08194633522855277,,,,,,,,,,
8,knn_local_cqr,kNN Local RF-CQR,PHIF,7,128,32,0.010037016566254869,0.020906688597710627,0.013193470487890272,0.957569066871881,0.9921743610253768,0.9453125,0.06305079166650174,0.04672797874767662,0.7411164477495804,0.07175862761574794,,,,,,,,,,
0,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.04167591560868362,0.03488220849339797,0.024547344675185434,0.8678926324692604,0.9356026331211678,0.9765625,0.11579434743723993,0.05679611046077839,0.4904912175575898,0.13719805931450968,,,,,,,,,,
1,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.0,0.0068125480370367615,0.005897600919508817,0.9769043523733607,0.9886733853255345,1.0,0.031222984420908213,0.009241005218306857,0.29596803091374874,0.031222984420908213,,,,,,,,,,
2,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.0007188097967931255,0.011829271078073527,0.009894032763756215,0.9629340379205134,0.9916163245048758,0.9765625,0.06651669744209537,0.033041252600902245,0.4967362161909131,0.06697680128153895,,,,,,,,,,
3,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.0026480969617473527,0.0077368632358751485,0.00643278055260926,0.9843012675718562,0.9948085963707832,0.984375,0.03237870651529403,0.008194624118634902,0.25308682775095365,0.03560869325729103,,,,,,,,,,
4,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.001856819791812807,0.009751357338916772,0.006762096485377841,0.9807481482759018,0.9912939855565018,0.90625,0.04048382002216496,0.013546693102933905,0.3346199320004156,0.05874209304588489,,,,,,,,,,
5,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.0042296886394086256,0.012505288189383165,0.00998501963870776,0.9684170990824958,0.9886081050935056,0.9375,0.05542067441461275,0.02994210178015418,0.5402695311167011,0.06491616313738563,,,,,,,,,,
6,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.06496852911184212,0.008961165443544958,0.006932476290032779,0.9867526323911154,0.9953940172898378,0.921875,0.1603174627879541,0.1856305899298678,1.1578937609273072,0.16709241121573057,,,,,,,,,,
7,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.0004727753752021217,0.02762938989727971,0.008352634812869528,0.7894800127060762,0.8981689170103112,0.96875,0.03487750815355169,0.01685558828222493,0.4832796026601594,0.08102560604642725,,,,,,,,,,
8,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,7,128,32,0.020395883609861824,0.020906688597710624,0.013193470487890272,0.957569066871881,0.9921743610253769,0.9609375,0.08305823604944301,0.046473325732293354,0.5595270010866671,0.0890395850974599,,,,,,,,,,
0,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,0.04779475949513018,0.03488220849339796,0.02454734467518543,0.8678926324692604,0.9356026331211679,0.9375,0.12363682163418241,0.039385707557861714,0.31855968988265043,0.16142844012086577,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
1,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,-0.0017534402277827321,0.0068125480370367615,0.005897600919508816,0.9769043523733607,0.9886733853255345,0.9765625,0.02771610396534275,0.009241005218306857,0.3334164581667811,0.028129368890701896,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
2,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,-0.002557080314957244,0.01182927107807353,0.009894032763756215,0.9629340379205134,0.9916163245048758,0.9140625,0.05996491721859464,0.03358390411520411,0.5600592091668894,0.06289732338026804,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
3,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,0.0023938276957911897,0.007736863235875149,0.006432780552609259,0.9843012675718562,0.9948085963707832,0.984375,0.03187016798338171,0.008175313047672097,0.25651929578579596,0.035439142322520774,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
4,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,-0.004556868419572452,0.00975135733891677,0.006762096485377841,0.9807481482759018,0.991293985556502,0.7734375,0.027656443599394447,0.013428016800452063,0.4855294120588259,0.0629433407656448,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
5,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,0.004598193022747027,0.01250528818938317,0.009985019638707765,0.9684170990824957,0.9886081050935056,0.9375,0.05615768318128957,0.0273923052076627,0.48777484497061974,0.06289165696594089,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
6,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,-0.001791023809523784,0.008961165443544947,0.0069324762900327686,0.9867526323911154,0.9953940172898375,0.875,0.033502388590335885,0.017329956235407958,0.5172752440823567,0.04408732266265237,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
7,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,-0.001386781179580382,0.027629389897279713,0.008352634812869532,0.789480012706076,0.8981689170103111,0.921875,0.03115839504398668,0.016793911986116298,0.5389851422837451,0.07972079253724776,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
8,global_rf_cqr,Global RF-CQR,PHIF,7,128,32,0.02154649238845119,0.02090668859771063,0.013193470487890272,0.957569066871881,0.9921743610253768,0.9765625,0.08499422963649932,0.029879134562415678,0.35154309522189725,0.0910162038759721,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,cqr_signed
0,wl_pcqr,WL-PCQR,PHIF,7,128,32,0.029609329460479623,0.038126577188160475,0.025284127767959925,0.8421753888630685,0.9183081585959529,0.734375,0.08592322996293991,0.049850868048469374,0.5801791677288071,0.20558600125628174,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,location-scale
1,wl_pcqr,WL-PCQR,PHIF,7,128,32,-0.0017534402277827321,0.006812548037036761,0.005897600919508814,0.9769043523733607,0.9886733853255345,0.9765625,0.02771610396534275,0.009241005218306857,0.3334164581667811,0.028129368890701896,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,uniform
2,wl_pcqr,WL-PCQR,PHIF,7,128,32,-0.007501708739961413,0.006759895785786789,0.005286655017667851,0.9878957102788076,0.994701222317593,0.9140625,0.04952003206726737,0.030563969212808472,0.6172041482382478,0.05430911750552468,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,location-scale
3,wl_pcqr,WL-PCQR,PHIF,7,128,32,-0.0010983119224678177,0.008076977650507054,0.004821647702590274,0.9828906894270093,0.9920052673624173,0.9140625,0.024885888746863687,0.015596471826974963,0.6267195029930587,0.03078505189834539,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,location-scale
4,wl_pcqr,WL-PCQR,PHIF,7,128,32,-0.004556868419572452,0.009751357338916768,0.006762096485377837,0.9807481482759018,0.9912939855565018,0.7734375,0.027656443599394447,0.013428016800452063,0.4855294120588259,0.0629433407656448,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,uniform
5,wl_pcqr,WL-PCQR,PHIF,7,128,32,-0.00136396743818885,0.009929171005151099,0.007180255923300597,0.9800891138406168,0.9904827086406729,0.90625,0.0442141474252981,0.016334539179241665,0.3694414600403558,0.05652694320914889,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,location-scale
6,wl_pcqr,WL-PCQR,PHIF,7,128,32,-0.001791023809523784,0.008961165443544961,0.0069324762900327816,0.9867526323911153,0.9953940172898383,0.875,0.033502388590335885,0.017329956235407958,0.5172752440823567,0.04408732266265237,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,uniform
7,wl_pcqr,WL-PCQR,PHIF,7,128,32,0.0001131511609945594,0.026694940422799646,0.00661919254328378,0.8034791396064939,0.9016130055698537,0.9609375,0.03416382490618895,0.01778295162241391,0.5205199263034637,0.07978721248371942,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,location-scale
8,wl_pcqr,WL-PCQR,PHIF,7,128,32,0.0034264716908598662,0.010418652001704314,0.006299196301335866,0.9894625592404425,0.9948846009280432,0.984375,0.04927797386186962,0.03698991537969693,0.7506379114405725,0.05151510933958688,LOWO_LOCAL_CAL,0.1,0.9,0.2,stratified,none,True,,,location-scale
0,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.04497592125983599,0.034818095887970024,0.024289573141013314,0.8683778061038802,0.9355891800041295,0.9375,0.12597282025097323,0.03923968986155353,0.31149330294723143,0.16403382295767233,,,,,,,,,,
1,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.007018407230973573,0.006155026313745525,0.9754874711851559,0.9880372749741843,1.0,0.046994564929868685,0.014465386362950883,0.3078097729926426,0.046994564929868685,,,,,,,,,,
2,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.01200886027065453,0.009535655578446019,0.961800041417928,0.9917756880391977,1.0,0.07371883031469767,0.030483997590601105,0.4135171090000782,0.07371883031469767,,,,,,,,,,
3,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.007675543618716857,0.006404831238142257,0.9845491265455846,0.995062051198385,0.9921875,0.04307258378892704,0.01326853196330298,0.308050523003777,0.04476008378892704,,,,,,,,,,
4,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.00967198682205244,0.00678316374067151,0.9810602711368981,0.9914405349913569,0.953125,0.049270248052001045,0.016304773058607773,0.330925329245335,0.05562368555200105,,,,,,,,,,
5,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.011631238551539073,0.009270504848728277,0.9726777453653419,0.9895334836762997,0.9609375,0.04871099017797971,0.020454408155932528,0.4199136186966519,0.05532036517797972,,,,,,,,,,
6,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.009030412165848108,0.006885203268482668,0.986547105304962,0.9951070349578387,0.9921875,0.0460079122540004,0.015039600245430404,0.3268916042614541,0.0488457247540004,,,,,,,,,,
7,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.027453270962247603,0.00810209283723276,0.7921553078858322,0.898851945835113,0.984375,0.05098577647553819,0.02160147229240899,0.42367644048282527,0.09459515147553818,,,,,,,,,,
8,qrf_cqr,RF-Leaf QRF+CQR,PHIF,123,128,32,0.0,0.020716385976860485,0.013519265607942704,0.9583380043132586,0.9928045295018674,0.9375,0.061555810902126334,0.03504174658612407,0.5692678899452792,0.0689927929395282,,,,,,,,,,
