dataset,protocol,method,method_label,coverage_mean,p10_well_coverage_mean,worst_well_coverage_mean,width_mean,winkler_mean,rmse_mean,macro_well_coverage_mean,macro_well_winkler_mean,coverage_sd,p10_well_coverage_sd,worst_well_coverage_sd,width_sd,winkler_sd,rmse_sd,macro_well_coverage_sd,macro_well_winkler_sd,rank_winkler
Mendeley_GOM_DNS,within_well,extratrees_pcqr,ExtraTrees-PCQR,0.8356164383561643,0.7860795454545455,0.7782828282828284,0.0631461470867513,0.08677182451015582,0.018491910159922128,0.8172664141414141,0.09073723039705366,0.012081056214906852,0.014795546187399583,0.017429731239128797,0.0013216644894873315,0.0011029488158962254,7.763602081476248e-05,0.00886635410074468,0.0009757752997307141,3
Mendeley_GOM_DNS,within_well,catboost_cqr_signed,CatBoost Quantile+CQR,0.8569254185692542,0.7504166666666667,0.7333333333333334,0.05262757418972138,0.09001976986326767,0.015759927464158788,0.8187500000000001,0.10981615611614752,0.00697500105777151,0.0009547032697824826,0.0,0.0005933132955232497,0.0015419222971625123,0.0005007690878987162,0.004773516348912356,0.003098878424370586,4
Mendeley_GOM_DNS,within_well,ngboost_cqr_signed,NGBoost PI,0.8340943683409437,0.6802083333333334,0.6555555555555556,0.04768788798550127,0.10664781315752336,0.014608289058331038,0.7788194444444444,0.14047376211374388,0.002636302599039403,0.008485588272673478,0.009622504486493794,0.0006905562604470303,0.002385279681183,0.00020547893021590584,0.004209845712841083,0.004711019486168042,5
Mendeley_GOM_DNS,within_well,hgb_cqr_signed,HGB-CQR,0.867579908675799,0.8093750000000001,0.8000000000000002,0.08658820434227692,0.11318501603909203,0.026662685587350732,0.8468750000000002,0.12536474535175363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Mendeley_GOM_DNS,within_well,lightgbm_cqr_signed,LightGBM Quantile+CQR,0.8112633181126331,0.708806818181818,0.6924242424242424,0.06375514442294662,0.11817687246428489,0.014148419615204773,0.7743371212121212,0.14129695431972863,0.0205901815197392,0.036532235213722467,0.039364791081110816,0.0012524029231702526,0.0014078939364992648,2.3259364640447854e-05,0.02586163666578464,0.002437127553590813,7
SPWLA_PDDA_2021,cross_well,wl_pcqr,WL-PCQR,0.9262152777777778,0.8626736111111111,0.8272569444444444,0.1212068309872419,0.158948116364778,0.04201428397607118,0.9262152777777778,0.158948116364778,0.02286795116722135,0.05098184206642705,0.058260045107284095,0.05929914834013427,0.07014993400790136,0.023000160239809508,0.02286795116722135,0.07014993400790136,1
SPWLA_PDDA_2021,cross_well,global_rf_cqr,Global RF-CQR,0.9364390432098766,0.8944444444444445,0.8541666666666666,0.15353678142421495,0.1864129596707214,0.05101724336484061,0.9364390432098766,0.1864129596707214,0.021097401312289002,0.030579836667161554,0.04367320268554276,0.07712830648902626,0.08894987773656843,0.027812646995743838,0.021097401312289002,0.08894987773656843,2
SPWLA_PDDA_2021,cross_well,source_only_rf_cqr,Source-only RF-CQR,0.902854938271605,0.8018055555555557,0.6395833333333333,0.1422177922481402,0.2010042189942072,0.05233191654936489,0.902854938271605,0.20100421899420723,0.004940381011669689,0.013420936173672007,0.17167602118525463,0.07273571539416436,0.08682601853120842,0.027849430381680987,0.004940381011669709,0.0868260185312084,3
SPWLA_PDDA_2021,cross_well,ngboost_cqr_signed,NGBoost PI,0.9287229938271605,0.890625,0.8628472222222222,0.1641489082268393,0.22036976890740967,0.05405519792180991,0.9287229938271605,0.22036976890740967,0.012171708689990271,0.016010860571811884,0.023146339628426018,0.08743776991879919,0.11361089469330676,0.02835931500934687,0.012171708689990271,0.11361089469330676,4
SPWLA_PDDA_2021,cross_well,extratrees_pcqr,ExtraTrees-PCQR,0.9406828703703705,0.8907986111111111,0.8463541666666666,0.21085170378165263,0.2254769516450945,0.05971653373743407,0.9406828703703705,0.2254769516450945,0.007327232211863764,0.012063786272812974,0.04021730523823047,0.10496503046767104,0.1073815459447326,0.032318838397617226,0.007327232211863764,0.1073815459447326,5
