method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,dataset,protocol,seed
hgb_cqr_signed,HGB-CQR,SW,9,1152,0.09649145699366889,0.04720071000808913,0.5243620438393193,0.8068302999737798,0.9331597222222222,0.31738844581136366,0.10083919037538264,0.33234030551203136,0.37416630242116816,0.9331597222222222,0.8984375,0.8671875,4,0.31738844581136366,0.37416630242116816,SPWLA_PDDA_2021,cross_well,42
lightgbm_cqr_signed,LightGBM Quantile+CQR,SW,9,1152,0.07440745219527165,0.04722536823666095,0.6856538454993428,0.8695550123976973,0.9592013888888888,0.3652745911778539,0.17859434673167346,0.4856405026063792,0.40099894999450025,0.9592013888888888,0.9140625,0.8828125,8,0.3652745911778539,0.40099894999450025,SPWLA_PDDA_2021,cross_well,42
catboost_cqr_signed,CatBoost Quantile+CQR,SW,9,1152,0.08114376368501346,0.05448594198380939,0.6553338462218036,0.8633566000795859,0.9114583333333334,0.30036168058223,0.10709578630578895,0.39749361244742937,0.3763356530598213,0.9114583333333334,0.8734375,0.8046875,0,0.30036168058223,0.3763356530598213,SPWLA_PDDA_2021,cross_well,42
source_only_rf_cqr,Source-only RF-CQR,SW,9,1440,0.07836001542438518,0.04909041572217774,0.6320671993150213,0.863517687791552,0.9055555555555556,0.18171451211647896,0.1328748453382128,0.87346730085557,0.25262715296312366,0.9055555555555556,0.7999999999999999,0.725,0,0.181714512116479,0.25262715296312366,SPWLA_PDDA_2021,cross_well,42
extratrees_pcqr,ExtraTrees-PCQR,SW,45,1440,0.1308899938525319,0.10029777663243,-4.522415825855817,,0.9125,0.3381919242353599,0.11068503024919944,0.3995295790837487,0.47094241798390385,0.9125000000000001,0.8562500000000001,0.70625,,0.3381919242353599,0.47094241798390374,SPWLA_PDDA_2021,within_well,42
global_rf_cqr,Global RF-CQR,SW,45,1440,0.12906234924924564,0.09261858413009837,-4.587880189595361,,0.9173611111111111,0.35398856980662524,0.10451624773911511,0.42017452624482354,0.503037515999265,0.9173611111111111,0.85875,0.76875,,0.3539885698066253,0.503037515999265,SPWLA_PDDA_2021,within_well,42
wl_pcqr,WL-PCQR,SW,45,1440,0.12906234924924564,0.09261858413009835,-4.5878801895953565,,0.9173611111111111,0.35398856980662524,0.10451624773911511,0.42017452624482354,0.503037515999265,0.9173611111111111,0.85875,0.76875,,0.3539885698066253,0.503037515999265,SPWLA_PDDA_2021,within_well,42
catboost_cqr_signed,CatBoost Quantile+CQR,SW,45,1440,0.11817954121064932,0.08363819797682207,-1.704155233776341,,0.8486111111111111,0.3035420360188915,0.05130505795826122,0.25655621189355526,0.5173439748671397,0.8486111111111111,0.76375,0.74375,,0.3035420360188915,0.5173439748671397,SPWLA_PDDA_2021,within_well,42
lightgbm_cqr_signed,LightGBM Quantile+CQR,SW,45,1440,0.11454419214087444,0.07711038355083917,-2.6128524722984965,,0.9326388888888889,0.4378403514049833,0.09103744984820215,0.35877557891540995,0.5626348415335042,0.932638888888889,0.8825,0.8625,,0.4378403514049833,0.5626348415335042,SPWLA_PDDA_2021,within_well,42
hgb_cqr_signed,HGB-CQR,SW,45,1440,0.12040321234846317,0.07989585167950511,-1.9592753347500655,,0.9125,0.3965947366804008,0.10618524370381592,0.45664209431293157,0.5698151633675654,0.9125000000000001,0.8312499999999999,0.75625,,0.3965947366804008,0.5698151633675654,SPWLA_PDDA_2021,within_well,42
ngboost_cqr_signed,NGBoost PI,SW,45,1440,0.12205555506827828,0.07836227904777072,-3.353055279179677,,0.8625,0.31443292670751183,0.0409655969502887,0.18098518908976793,0.6154732117421976,0.8625000000000002,0.805,0.8,,0.31443292670751183,0.6154732117421976,SPWLA_PDDA_2021,within_well,42
wl_pcqr,WL-PCQR,SW,9,1152,0.06692296062652815,0.03763899356070302,0.7411449564382135,0.8943132747241863,0.9574652777777778,0.17811175488134223,0.1386033187680728,0.9261438822262844,0.21987544036112672,0.9574652777777778,0.9140625,0.8828125,7,0.17811175488134223,0.21987544036112672,SPWLA_PDDA_2021,cross_well,7
global_rf_cqr,Global RF-CQR,SW,9,1152,0.07841466853636064,0.04980134884080841,0.6673844129705275,0.8771980156492497,0.9609375,0.21045970602824662,0.1405656878605945,0.8149047123419932,0.2509330600551558,0.9609375,0.925,0.875,8,0.21045970602824662,0.2509330600551558,SPWLA_PDDA_2021,cross_well,7
extratrees_pcqr,ExtraTrees-PCQR,SW,9,1152,0.09540135299512444,0.07666764153426883,0.5201177129857956,0.8499380769262592,0.9418402777777778,0.3241426707918462,0.14913728940481585,0.5384122354873874,0.337086167581981,0.9418402777777778,0.871875,0.796875,0,0.3241426707918462,0.337086167581981,SPWLA_PDDA_2021,cross_well,7
ngboost_cqr_signed,NGBoost PI,SW,9,1152,0.08066716282355031,0.05313103540504504,0.6020264695128547,0.8595289067928708,0.9244791666666666,0.2170033187471742,0.06520267062301345,0.3349878853341432,0.3198770379143057,0.9244791666666666,0.8921875,0.8671875,8,0.2170033187471742,0.3198770379143057,SPWLA_PDDA_2021,cross_well,7
hgb_cqr_signed,HGB-CQR,SW,9,1152,0.09649145699366889,0.04720071000808913,0.5243620438393193,0.8068302999737798,0.9331597222222222,0.31738844581136366,0.10083919037538264,0.33234030551203136,0.37416630242116816,0.9331597222222222,0.8984375,0.8671875,4,0.31738844581136366,0.37416630242116816,SPWLA_PDDA_2021,cross_well,7
lightgbm_cqr_signed,LightGBM Quantile+CQR,SW,9,1152,0.07480580364809476,0.04744668796266191,0.683779736802583,0.8731824309647398,0.9644097222222222,0.3750272436974929,0.1758765797735014,0.4741197645992923,0.3965095859724632,0.9644097222222222,0.9421875,0.9296875,8,0.3750272436974929,0.3965095859724632,SPWLA_PDDA_2021,cross_well,7
catboost_cqr_signed,CatBoost Quantile+CQR,SW,9,1152,0.08131682765478829,0.05486846607438524,0.6465495571854792,0.859766516220674,0.9357638888888888,0.31651975452614334,0.10391609443007628,0.3850104966433199,0.37713671951988775,0.9357638888888888,0.8984375,0.8359375,7,0.31651975452614334,0.37713671951988775,SPWLA_PDDA_2021,cross_well,7
source_only_rf_cqr,Source-only RF-CQR,SW,9,1440,0.07924224673697407,0.05020952688802734,0.622702500681712,0.8621983868771672,0.9027777777777778,0.18694786460152954,0.13247614127664858,0.8679658537484384,0.25979125712440826,0.9027777777777778,0.77,0.7,0,0.18694786460152954,0.2597912571244083,SPWLA_PDDA_2021,cross_well,7
extratrees_pcqr,ExtraTrees-PCQR,SW,45,1440,0.13134451352026616,0.10048399187813345,-4.778560177122058,,0.9138888888888889,0.33620570030222485,0.10701501840986345,0.39632222797415356,0.4724825353043884,0.9138888888888889,0.8675,0.7125,,0.33620570030222485,0.4724825353043883,SPWLA_PDDA_2021,within_well,7
global_rf_cqr,Global RF-CQR,SW,45,1440,0.12928084868088222,0.09320856079875296,-4.749910557755953,,0.9131944444444444,0.3567999169314812,0.10362081000708012,0.3976491077255884,0.5016742289609043,0.9131944444444442,0.85625,0.75625,,0.3567999169314813,0.5016742289609043,SPWLA_PDDA_2021,within_well,7
wl_pcqr,WL-PCQR,SW,45,1440,0.12928084868088222,0.09320856079875295,-4.749910557755949,,0.9131944444444444,0.3567999169314812,0.10362081000708012,0.3976491077255884,0.5016742289609043,0.9131944444444442,0.85625,0.75625,,0.3567999169314813,0.5016742289609043,SPWLA_PDDA_2021,within_well,7
catboost_cqr_signed,CatBoost Quantile+CQR,SW,45,1440,0.11877310200742736,0.08450628750399702,-1.8322500540513305,,0.8625,0.30087150849957656,0.04733275016242621,0.23855461846647216,0.517964964455769,0.8625,0.7975,0.7125,,0.3008715084995765,0.517964964455769,SPWLA_PDDA_2021,within_well,7
lightgbm_cqr_signed,LightGBM Quantile+CQR,SW,45,1440,0.11562720519361118,0.07792535094715998,-2.7979831500009555,,0.9326388888888889,0.43326297474156245,0.09225849518325781,0.3786587683523925,0.5592159808553853,0.932638888888889,0.8837499999999999,0.86875,,0.4332629747415624,0.5592159808553854,SPWLA_PDDA_2021,within_well,7
