method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,seed,frac,strategy
wl_pcqr,WL-PCQR,SW,9,1152,0.09238348899194487,0.05463450441593268,0.600946479082767,0.8622512040179053,0.7986111111111112,0.13944851550329002,0.1146564720836894,0.9785311339560777,0.5408958757732055,0.7986111111111112,0.559375,0.453125,8,0.13944851550329002,0.5408958757732055,42,0.2,contiguous
wl_pcqr,WL-PCQR,SW,9,1152,0.0684329040726975,0.04051263058328594,0.7397107610338467,0.883685011229725,0.9149305555555556,0.16624774334784082,0.12557083339990563,0.9380957839905049,0.2448927153122271,0.9149305555555556,0.8578125,0.8515625,4,0.16624774334784082,0.2448927153122271,42,0.2,random
wl_pcqr,WL-PCQR,SW,9,1152,0.0666525503690115,0.03730827115194186,0.7399470592625746,0.8944023832937084,0.9461805555555556,0.1667047092085243,0.13475104320816994,0.9571012997753621,0.21693940228022432,0.9461805555555556,0.9125,0.90625,6,0.1667047092085243,0.21693940228022432,42,0.2,stratified
wl_pcqr,WL-PCQR,SW,9,1008,0.08995567996446267,0.05399361412666091,0.6435549606721132,0.8710392482112557,0.816468253968254,0.15779556502444944,0.11933336782249039,0.9219572765670072,0.5047461636498657,0.816468253968254,0.5732142857142857,0.5089285714285714,5,0.15779556502444947,0.5047461636498657,42,0.3,contiguous
wl_pcqr,WL-PCQR,SW,9,1008,0.06342950822390334,0.0348225834380952,0.7469665791560111,0.8844691746025666,0.9345238095238095,0.16042066834900554,0.13120735825102686,0.9458752777585656,0.20463452093487455,0.9345238095238094,0.9089285714285714,0.8660714285714286,6,0.16042066834900554,0.20463452093487453,42,0.3,random
wl_pcqr,WL-PCQR,SW,9,1008,0.05585806070054068,0.029864054716875737,0.8067801526747999,0.9152084184956542,0.9494047619047619,0.15627451678537269,0.12818395078787664,1.000260119553967,0.18826528802907086,0.949404761904762,0.9035714285714286,0.875,6,0.15627451678537266,0.18826528802907086,42,0.3,stratified
wl_pcqr,WL-PCQR,SW,9,1296,0.08774013093564373,0.05217228090268727,0.6418635009828101,0.8632778071363065,0.8248456790123457,0.1536414025568691,0.1253389744602435,1.0082376512243898,0.4098138437736497,0.8248456790123457,0.6416666666666666,0.5416666666666666,8,0.15364140255686912,0.40981384377364977,7,0.1,contiguous
wl_pcqr,WL-PCQR,SW,9,1296,0.06387987307131777,0.034915537053171374,0.7909648570098812,0.8970078678789709,0.9359567901234568,0.15921010605603086,0.12501369779283503,0.926257357222749,0.228699327762116,0.9359567901234568,0.8930555555555555,0.8263888888888888,4,0.15921010605603086,0.22869932776211602,7,0.1,random
wl_pcqr,WL-PCQR,SW,9,1296,0.06825877380011172,0.04026245744648503,0.7506088486152483,0.8982154602050261,0.9652777777777778,0.20812618249690784,0.13860403422879197,0.8424773321586064,0.2528183842054542,0.9652777777777778,0.9416666666666667,0.9027777777777778,6,0.20812618249690787,0.25281838420545427,7,0.1,stratified
wl_pcqr,WL-PCQR,SW,9,1152,0.09269501450286183,0.055530027155407044,0.6005423242409347,0.8670699215795533,0.8229166666666666,0.1484278889910854,0.12299385847205707,0.9807886951415828,0.5000495277790171,0.8229166666666666,0.575,0.53125,8,0.1484278889910854,0.5000495277790171,7,0.2,contiguous
wl_pcqr,WL-PCQR,SW,9,1152,0.07035969536275204,0.037868846443210515,0.6937537783402434,0.8641473728205525,0.9131944444444444,0.15886664413302498,0.1331751624185544,0.9874648437985901,0.24899122633126458,0.9131944444444444,0.8546875,0.8359375,6,0.15886664413302498,0.24899122633126458,7,0.2,random
wl_pcqr,WL-PCQR,SW,9,1152,0.06692296062652815,0.03763899356070302,0.7411449564382134,0.8943132747241864,0.9574652777777778,0.17811175488134223,0.1386033187680728,0.9261438822262844,0.21987544036112672,0.9574652777777778,0.9140625,0.8828125,7,0.17811175488134223,0.21987544036112672,7,0.2,stratified
wl_pcqr,WL-PCQR,SW,9,1008,0.09239052092352938,0.05560761749458946,0.6262610526423239,0.869350722029074,0.8184523809523809,0.1581301553412905,0.1252814437768592,0.9361357757170787,0.5050924941065632,0.8184523809523809,0.5642857142857143,0.5357142857142857,5,0.1581301553412905,0.5050924941065631,7,0.3,contiguous
wl_pcqr,WL-PCQR,SW,9,1008,0.0705591159946345,0.037262415445377034,0.6412885549158197,0.882791605948169,0.9454365079365079,0.1665013719742122,0.1345018121190598,0.924490803942516,0.24413741144871198,0.9454365079365079,0.9017857142857143,0.9017857142857143,0,0.16650137197421222,0.24413741144871196,7,0.3,random
wl_pcqr,WL-PCQR,SW,9,1008,0.05412775039447753,0.02885118020822192,0.81148875776958,0.9174110077254859,0.933531746031746,0.154275376934345,0.12600611525285402,0.9990920094337273,0.19738095868305774,0.9335317460317459,0.8660714285714286,0.8303571428571429,6,0.154275376934345,0.19738095868305777,7,0.3,stratified
wl_pcqr,WL-PCQR,SW,9,1296,0.08755137594293035,0.052305312218575574,0.6401814254704927,0.8624911432387405,0.8595679012345679,0.15423368036030152,0.12549346149903187,0.9848067912355442,0.4327540550099625,0.8595679012345678,0.6944444444444444,0.6666666666666666,5,0.1542336803603015,0.4327540550099625,123,0.1,contiguous
wl_pcqr,WL-PCQR,SW,9,1296,0.07015270393161877,0.043964270926610025,0.7545745192137209,0.8896268657752984,0.9552469135802469,0.2096924161883532,0.12351842887959692,0.7963450646562843,0.25456162747951305,0.9552469135802468,0.9055555555555556,0.8888888888888888,3,0.20969241618835321,0.254561627479513,123,0.1,random
wl_pcqr,WL-PCQR,SW,9,1296,0.0685436967467533,0.039935828721396865,0.7358436824453001,0.8947075404486443,0.9575617283950617,0.20200691864115114,0.13388092796811005,0.8489267900403963,0.251033629711948,0.9575617283950617,0.913888888888889,0.875,6,0.2020069186411511,0.25103362971194804,123,0.1,stratified
wl_pcqr,WL-PCQR,SW,9,1152,0.09160665452381028,0.054646620678639936,0.5979076956061324,0.8654450720611053,0.8246527777777778,0.15020468397387318,0.12240705859312115,0.9514452251771881,0.4881144066699872,0.8246527777777778,0.5578125,0.5390625,5,0.15020468397387318,0.4881144066699872,123,0.2,contiguous
wl_pcqr,WL-PCQR,SW,9,1152,0.06681813559793363,0.03764765690914747,0.7130704401307375,0.8896685789420733,0.9435763888888888,0.16708335808084332,0.12610985513505502,0.903536228842614,0.23951933033416062,0.9435763888888888,0.890625,0.890625,0,0.16708335808084332,0.23951933033416062,123,0.2,random
wl_pcqr,WL-PCQR,SW,9,1152,0.06747370417077501,0.03769409863604392,0.7374555655221187,0.8928253977797223,0.9592013888888888,0.17284357222296842,0.13637055462454123,0.9165984365550849,0.2116935604107844,0.9592013888888888,0.9203125,0.8828125,7,0.17284357222296842,0.2116935604107844,123,0.2,stratified
wl_pcqr,WL-PCQR,SW,9,1008,0.09263676558079006,0.05599825269841392,0.6207386612549951,0.8628310184884591,0.8363095238095238,0.16556881914505533,0.12885889520302596,0.9350881655534536,0.4774675407414462,0.8363095238095238,0.5928571428571429,0.5714285714285714,5,0.16556881914505533,0.47746754074144615,123,0.3,contiguous
wl_pcqr,WL-PCQR,SW,9,1008,0.061137497777218,0.03169087704498329,0.7522265469163625,0.897294006059192,0.9375,0.15069403893097932,0.12012444627146229,0.9445177331159784,0.21444431436112135,0.9375,0.9,0.8571428571428571,6,0.15069403893097932,0.21444431436112135,123,0.3,random
wl_pcqr,WL-PCQR,SW,9,1008,0.058603502793216154,0.031262014767164836,0.7918552035063334,0.9093871759337058,0.9464285714285714,0.15606355611005487,0.12311977181967405,0.9449404371725892,0.19023231921896389,0.9464285714285714,0.9089285714285714,0.8660714285714286,6,0.15606355611005485,0.19023231921896386,123,0.3,stratified
wl_pcqr,WL-PCQR,VSH,9,1296,0.06050383031723081,0.04287817436359096,0.9070025396757048,0.9684858396065705,0.6712962962962963,0.10772406037921736,0.059864681208874664,0.5743277070207888,0.3798365896262805,0.6712962962962963,0.5055555555555555,0.3611111111111111,5,0.10772406037921735,0.37983658962628053,42,0.1,contiguous
wl_pcqr,WL-PCQR,VSH,9,1296,0.0483235179769419,0.03232721653566723,0.9461783571733601,0.9769154447871387,0.8865740740740741,0.14553796673927963,0.06031507659218436,0.42588483724325243,0.2526693417720228,0.886574074074074,0.8138888888888889,0.7916666666666666,0,0.1455379667392796,0.2526693417720228,42,0.1,random
wl_pcqr,WL-PCQR,VSH,9,1296,0.04878584372252328,0.03397461541242103,0.9249943324554903,0.9737984968576251,0.8942901234567902,0.17877757048236545,0.09557923551511671,0.5403551456910878,0.2420401975803472,0.89429012345679,0.8125,0.7013888888888888,1,0.17877757048236545,0.2420401975803472,42,0.1,stratified
wl_pcqr,WL-PCQR,VSH,9,1152,0.06766284369858798,0.04893882632263414,0.8897570893960847,0.9669524952759746,0.6293402777777778,0.10177815840042422,0.05771433747447378,0.6078940775129547,0.4801688824195953,0.6293402777777778,0.4359375,0.4296875,5,0.10177815840042422,0.4801688824195953,42,0.2,contiguous
wl_pcqr,WL-PCQR,VSH,9,1152,0.04741172168920237,0.033065163195850955,0.927761731901628,0.975051679986638,0.9088541666666666,0.15591161125751588,0.08656708448997658,0.5829461565977492,0.20763418011501827,0.9088541666666666,0.853125,0.765625,6,0.15591161125751588,0.20763418011501827,42,0.2,random
